Location,latitude,longitude,parameter,value,lastUpdated,unit,,,[],,,
Everglades Dr,37.592644,-122.468025,um010,0.86,2023-07-02T14:19:06+00:00', 'particles/cm³',,,{'parameter': 'um010', 'value': 0.86, 'lastUpdated': '2023-07-02T14:19:06+00:00', 'unit': 'particles/cm³'
Everglades Dr,37.592644,-122.468025,pm10,12.9,2023-07-02T14:19:06+00:00', 'µg/m³',,, {'parameter': 'pm10', 'value': 12.9, 'lastUpdated': '2023-07-02T14:19:06+00:00', 'unit': 'µg/m³'
Everglades Dr,37.592644,-122.468025,pm25,12.3, '2023-07-02T14:19:06+00:00', 'µg/m³',,, {'parameter': 'pm25', 'value': 12.3, 'lastUpdated': '2023-07-02T14:19:06+00:00', 'unit': 'µg/m³'
Everglades Dr,37.592644,-122.468025,pm1,7.3,2023-07-02T14:19:06+00:00', 'µg/m³',,, {'parameter': 'pm1', 'value': 7.3, 'lastUpdated': '2023-07-02T14:19:06+00:00', 'unit': 'µg/m³'
Everglades Dr,37.592644,-122.468025,um003,14.05,2023-07-02T14:19:06+00:00', 'particles/cm³',,, {'parameter': 'um003', 'value': 14.05, 'lastUpdated': '2023-07-02T14:19:06+00:00', 'unit': 'particles/cm³'
Everglades Dr,37.592644,-122.468025,um050,0,2023-07-02T14:19:06+00:00', 'particles/cm³',,, {'parameter': 'um050', 'value': 0.0, 'lastUpdated': '2023-07-02T14:19:06+00:00', 'unit': 'particles/cm³'
Everglades Dr,37.592644,-122.468025,um005,4.17,2023-07-02T14:19:06+00:00', 'particles/cm³',,, {'parameter': 'um005', 'value': 4.17, 'lastUpdated': '2023-07-02T14:19:06+00:00', 'unit': 'particles/cm³'
Everglades Dr,37.592644,-122.468025,pressure,999.09,2023-07-02T14:19:06+00:00', 'mb',,, {'parameter': 'pressure', 'value': 999.09, 'lastUpdated': '2023-07-02T14:19:06+00:00', 'unit': 'mb'
Everglades Dr,37.592644,-122.468025,humidity,56,2023-07-02T14:19:06+00:00', '%',,, {'parameter': 'humidity', 'value': 56.0, 'lastUpdated': '2023-07-02T14:19:06+00:00', 'unit': '%'
Everglades Dr,37.592644,-122.468025,um100,0,2023-07-02T14:19:06+00:00', 'particles/cm³',,, {'parameter': 'um100', 'value': 0.0, 'lastUpdated': '2023-07-02T14:19:06+00:00', 'unit': 'particles/cm³'
Everglades Dr,37.592644,-122.468025,um025,0.07,2023-07-02T14:19:06+00:00', 'particles/cm³',,, {'parameter': 'um025', 'value': 0.07, 'lastUpdated': '2023-07-02T14:19:06+00:00', 'unit': 'particles/cm³'
Everglades Dr,37.592644,-122.468025,temperature,64,2023-07-02T14:19:06+00:00', 'f',,, {'parameter': 'temperature', 'value': 64.0, 'lastUpdated': '2023-07-02T14:19:06+00:00', 'unit': 'f'
